365,Define,Parm,sprintf@__format,const char *__restrict
371,Define,FunctionDeclare,vfprintf,int
371,Define,Parm,vfprintf@__s,FILE *__restrict
371,Define,Parm,vfprintf@__format,const char *__restrict
372,Define,Parm,vfprintf@__arg,struct __va_list_tag *
377,Define,FunctionDeclare,vprintf,int
377,Define,Parm,vprintf@__format,const char *__restrict
377,Define,Parm,vprintf@__arg,struct __va_list_tag *
379,Define,FunctionDeclare,vsprintf,int
379,Define,Parm,vsprintf@__s,char *__restrict
379,Define,Parm,vsprintf@__format,const char *__restrict
380,Define,Parm,vsprintf@__arg,struct __va_list_tag *
386,Define,FunctionDeclare,snprintf,int
386,Define,Parm,snprintf@__s,char *__restrict
386,Define,Parm,snprintf@__maxlen,size_t
387,Define,Parm,snprintf@__format,const char *__restrict
390,Define,FunctionDeclare,vsnprintf,int
390,Define,Parm,vsnprintf@__s,char *__restrict
390,Define,Parm,vsnprintf@__maxlen,size_t
391,Define,Parm,vsnprintf@__format,const char *__restrict
391,Define,Parm,vsnprintf@__arg,struct __va_list_tag *
412,Define,FunctionDeclare,vdprintf,int
412,Define,Parm,vdprintf@__fd,int
412,Define,Parm,vdprintf@__fmt,const char *__restrict
413,Define,Parm,vdprintf@__arg,struct __va_list_tag *
415,Define,FunctionDeclare,dprintf,int
415,Define,Parm,dprintf@__fd,int
415,Define,Parm,dprintf@__fmt,const char *__restrict
425,Define,FunctionDeclare,fscanf,int
425,Define,Parm,fscanf@__stream,FILE *__restrict
426,Define,Parm,fscanf@__format,const char *__restrict
431,Define,FunctionDeclare,scanf,int
431,Define,Parm,scanf@__format,const char *__restrict
433,Define,FunctionDeclare,sscanf,int
433,Define,Parm,sscanf@__s,const char *__restrict
434,Define,Parm,sscanf@__format,const char *__restrict
443,Define,FunctionDeclare,fscanf,int
443,Define,Parm,fscanf@__stream,FILE *__restrict
443,Define,Parm,fscanf@__format,const char *__restrict
446,Define,FunctionDeclare,scanf,int
446,Define,Parm,scanf@__format,const char *__restrict
448,Define,FunctionDeclare,sscanf,int
448,Define,Parm,sscanf@__s,const char *__restrict
448,Define,Parm,sscanf@__format,const char *__restrict
471,Define,FunctionDeclare,vfscanf,int
471,Define,Parm,vfscanf@__s,FILE *__restrict
471,Define,Parm,vfscanf@__format,const char *__restrict
472,Define,Parm,vfscanf@__arg,struct __va_list_tag *
479,Define,FunctionDeclare,vscanf,int
479,Define,Parm,vscanf@__format,const char *__restrict
479,Define,Parm,vscanf@__arg,struct __va_list_tag *
483,Define,FunctionDeclare,vsscanf,int
483,Define,Parm,vsscanf@__s,const char *__restrict
484,Define,Parm,vsscanf@__format,const char *__restrict
484,Define,Parm,vsscanf@__arg,struct __va_list_tag *
494,Define,FunctionDeclare,vfscanf,int
494,Define,Parm,vfscanf@__s,FILE *__restrict
494,Define,Parm,vfscanf@__format,const char *__restrict
494,Define,Parm,vfscanf@__arg,struct __va_list_tag *
499,Define,FunctionDeclare,vscanf,int
499,Define,Parm,vscanf@__format,const char *__restrict
499,Define,Parm,vscanf@__arg,struct __va_list_tag *
502,Define,FunctionDeclare,vsscanf,int
502,Define,Parm,vsscanf@__s,const char *__restrict
502,Define,Parm,vsscanf@__format,const char *__restrict
502,Define,Parm,vsscanf@__arg,struct __va_list_tag *
531,Define,FunctionDeclare,fgetc,int
531,Define,Parm,fgetc@__stream,FILE *
532,Define,FunctionDeclare,getc,int
532,Define,Parm,getc@__stream,FILE *
538,Define,FunctionDeclare,getchar,int
550,Define,FunctionDeclare,getc_unlocked,int
550,Define,Parm,getc_unlocked@__stream,FILE *
551,Define,FunctionDeclare,getchar_unlocked,int
561,Define,FunctionDeclare,fgetc_unlocked,int
561,Define,Parm,fgetc_unlocked@__stream,FILE *
573,Define,FunctionDeclare,fputc,int
573,Define,Parm,fputc@__c,int
573,Define,Parm,fputc@__stream,FILE *
574,Define,FunctionDeclare,putc,int
574,Define,Parm,putc@__c,int
574,Define,Parm,putc@__stream,FILE *
580,Define,FunctionDeclare,putchar,int
580,Define,Parm,putchar@__c,int
594,Define,FunctionDeclare,fputc_unlocked,int
594,Define,Parm,fputc_unlocked@__c,int
594,Define,Parm,fputc_unlocked@__stream,FILE *
602,Define,FunctionDeclare,putc_unlocked,int
602,Define,Parm,putc_unlocked@__c,int
602,Define,Parm,putc_unlocked@__stream,FILE *
603,Define,FunctionDeclare,putchar_unlocked,int
603,Define,Parm,putchar_unlocked@__c,int
610,Define,FunctionDeclare,getw,int
610,Define,Parm,getw@__stream,FILE *
613,Define,FunctionDeclare,putw,int
613,Define,Parm,putw@__w,int
613,Define,Parm,putw@__stream,FILE *
622,Define,FunctionDeclare,fgets,char *
622,Define,Parm,fgets@__s,char *__restrict
622,Define,Parm,fgets@__n,int
622,Define,Parm,fgets@__stream,FILE *__restrict
665,Define,FunctionDeclare,__getdelim,__ssize_t
665,Define,Parm,__getdelim@__lineptr,char **__restrict
666,Define,Parm,__getdelim@__n,size_t *__restrict
666,Define,Parm,__getdelim@__delimiter,int
667,Define,Parm,__getdelim@__stream,FILE *__restrict
668,Define,FunctionDeclare,getdelim,__ssize_t
668,Define,Parm,getdelim@__lineptr,char **__restrict
669,Define,Parm,getdelim@__n,size_t *__restrict
669,Define,Parm,getdelim@__delimiter,int
670,Define,Parm,getdelim@__stream,FILE *__restrict
678,Define,FunctionDeclare,getline,__ssize_t
678,Define,Parm,getline@__lineptr,char **__restrict
679,Define,Parm,getline@__n,size_t *__restrict
680,Define,Parm,getline@__stream,FILE *__restrict
689,Define,FunctionDeclare,fputs,int
689,Define,Parm,fputs@__s,const char *__restrict
689,Define,Parm,fputs@__stream,FILE *__restrict
695,Define,FunctionDeclare,puts,int
695,Define,Parm,puts@__s,const char *
702,Define,FunctionDeclare,ungetc,int
702,Define,Parm,ungetc@__c,int
702,Define,Parm,ungetc@__stream,FILE *
709,Define,FunctionDeclare,fread,size_t
709,Define,Parm,fread@__ptr,void *__restrict
709,Define,Parm,fread@__size,size_t
710,Define,Parm,fread@__n,size_t
710,Define,Parm,fread@__stream,FILE *__restrict
715,Define,FunctionDeclare,fwrite,size_t
715,Define,Parm,fwrite@__ptr,const void *__restrict
715,Define,Parm,fwrite@__size,size_t
716,Define,Parm,fwrite@__n,size_t
716,Define,Parm,fwrite@__s,FILE *__restrict
737,Define,FunctionDeclare,fread_unlocked,size_t
737,Define,Parm,fread_unlocked@__ptr,void *__restrict
737,Define,Parm,fread_unlocked@__size,size_t
738,Define,Parm,fread_unlocked@__n,size_t
738,Define,Parm,fread_unlocked@__stream,FILE *__restrict
739,Define,FunctionDeclare,fwrite_unlocked,size_t
739,Define,Parm,fwrite_unlocked@__ptr,const void *__restrict
739,Define,Parm,fwrite_unlocked@__size,size_t
740,Define,Parm,fwrite_unlocked@__n,size_t
740,Define,Parm,fwrite_unlocked@__stream,FILE *__restrict
749,Define,FunctionDeclare,fseek,int
749,Define,Parm,fseek@__stream,FILE *
749,Define,Parm,fseek@__off,long
749,Define,Parm,fseek@__whence,int
754,Define,FunctionDeclare,ftell,long
754,Define,Parm,ftell@__stream,FILE *
759,Define,FunctionDeclare,rewind,void
759,Define,Parm,rewind@__stream,FILE *
773,Define,FunctionDeclare,fseeko,int
773,Define,Parm,fseeko@__stream,FILE *
773,Define,Parm,fseeko@__off,__off_t
773,Define,Parm,fseeko@__whence,int
778,Define,FunctionDeclare,ftello,__off_t
778,Define,Parm,ftello@__stream,FILE *
798,Define,FunctionDeclare,fgetpos,int
798,Define,Parm,fgetpos@__stream,FILE *__restrict
798,Define,Parm,fgetpos@__pos,fpos_t *__restrict
803,Define,FunctionDeclare,fsetpos,int
803,Define,Parm,fsetpos@__stream,FILE *
803,Define,Parm,fsetpos@__pos,const fpos_t *
826,Define,FunctionDeclare,clearerr,void
826,Define,Parm,clearerr@__stream,FILE *
828,Define,FunctionDeclare,feof,int
828,Define,Parm,feof@__stream,FILE *
830,Define,FunctionDeclare,ferror,int
830,Define,Parm,ferror@__stream,FILE *
835,Define,FunctionDeclare,clearerr_unlocked,void
835,Define,Parm,clearerr_unlocked@__stream,FILE *
836,Define,FunctionDeclare,feof_unlocked,int
836,Define,Parm,feof_unlocked@__stream,FILE *
837,Define,FunctionDeclare,ferror_unlocked,int
837,Define,Parm,ferror_unlocked@__stream,FILE *
846,Define,FunctionDeclare,perror,void
846,Define,Parm,perror@__s,const char *
26,Define,_Global_@sys_nerr,int
27,Define,_Global_@sys_errlist,const char *const []
858,Define,FunctionDeclare,fileno,int
858,Define,Parm,fileno@__stream,FILE *
863,Define,FunctionDeclare,fileno_unlocked,int
863,Define,Parm,fileno_unlocked@__stream,FILE *
872,Define,FunctionDeclare,popen,FILE *
872,Define,Parm,popen@__command,const char *
872,Define,Parm,popen@__modes,const char *
878,Define,FunctionDeclare,pclose,int
878,Define,Parm,pclose@__stream,FILE *
884,Define,FunctionDeclare,ctermid,char *
884,Define,Parm,ctermid@__s,char *
912,Define,FunctionDeclare,flockfile,void
912,Define,Parm,flockfile@__stream,FILE *
916,Define,FunctionDeclare,ftrylockfile,int
916,Define,Parm,ftrylockfile@__stream,FILE *
919,Define,FunctionDeclare,funlockfile,void
919,Define,Parm,funlockfile@__stream,FILE *
42,Define,FunctionDeclare,memcpy,void *
42,Define,Parm,memcpy@__dest,void *__restrict
42,Define,Parm,memcpy@__src,const void *__restrict
43,Define,Parm,memcpy@__n,size_t
46,Define,FunctionDeclare,memmove,void *
46,Define,Parm,memmove@__dest,void *
46,Define,Parm,memmove@__src,const void *
46,Define,Parm,memmove@__n,size_t
54,Define,FunctionDeclare,memccpy,void *
54,Define,Parm,memccpy@__dest,void *__restrict
54,Define,Parm,memccpy@__src,const void *__restrict
55,Define,Parm,memccpy@__c,int
55,Define,Parm,memccpy@__n,size_t
62,Define,FunctionDeclare,memset,void *
62,Define,Parm,memset@__s,void *
62,Define,Parm,memset@__c,int
62,Define,Parm,memset@__n,size_t
65,Define,FunctionDeclare,memcmp,int
65,Define,Parm,memcmp@__s1,const void *
65,Define,Parm,memcmp@__s2,const void *
65,Define,Parm,memcmp@__n,size_t
92,Define,FunctionDeclare,memchr,void *
92,Define,Parm,memchr@__s,const void *
92,Define,Parm,memchr@__c,int
92,Define,Parm,memchr@__n,size_t
125,Define,FunctionDeclare,strcpy,char *
125,Define,Parm,strcpy@__dest,char *__restrict
125,Define,Parm,strcpy@__src,const char *__restrict
128,Define,FunctionDeclare,strncpy,char *
128,Define,Parm,strncpy@__dest,char *__restrict
129,Define,Parm,strncpy@__src,const char *__restrict
129,Define,Parm,strncpy@__n,size_t
133,Define,FunctionDeclare,strcat,char *
133,Define,Parm,strcat@__dest,char *__restrict
133,Define,Parm,strcat@__src,const char *__restrict
136,Define,FunctionDeclare,strncat,char *
136,Define,Parm,strncat@__dest,char *__restrict
136,Define,Parm,strncat@__src,const char *__restrict
137,Define,Parm,strncat@__n,size_t
140,Define,FunctionDeclare,strcmp,int
140,Define,Parm,strcmp@__s1,const char *
140,Define,Parm,strcmp@__s2,const char *
143,Define,FunctionDeclare,strncmp,int
143,Define,Parm,strncmp@__s1,const char *
143,Define,Parm,strncmp@__s2,const char *
143,Define,Parm,strncmp@__n,size_t
147,Define,FunctionDeclare,strcoll,int
147,Define,Parm,strcoll@__s1,const char *
147,Define,Parm,strcoll@__s2,const char *
150,Define,FunctionDeclare,strxfrm,unsigned long
150,Define,Parm,strxfrm@__dest,char *__restrict
151,Define,Parm,strxfrm@__src,const char *__restrict
151,Define,Parm,strxfrm@__n,size_t
162,Define,FunctionDeclare,strcoll_l,int
162,Define,Parm,strcoll_l@__s1,const char *
162,Define,Parm,strcoll_l@__s2,const char *
162,Define,Parm,strcoll_l@__l,__locale_t
165,Define,FunctionDeclare,strxfrm_l,size_t
165,Define,Parm,strxfrm_l@__dest,char *
165,Define,Parm,strxfrm_l@__src,const char *
165,Define,Parm,strxfrm_l@__n,size_t
166,Define,Parm,strxfrm_l@__l,__locale_t
171,Define,FunctionDeclare,strdup,char *
171,Define,Parm,strdup@__s,const char *
179,Define,FunctionDeclare,strndup,char *
179,Define,Parm,strndup@__string,const char *
179,Define,Parm,strndup@__n,size_t
231,Define,FunctionDeclare,strchr,char *
231,Define,Parm,strchr@__s,const char *
231,Define,Parm,strchr@__c,int
258,Define,FunctionDeclare,strrchr,char *
258,Define,Parm,strrchr@__s,const char *
258,Define,Parm,strrchr@__c,int
280,Define,FunctionDeclare,strcspn,unsigned long
280,Define,Parm,strcspn@__s,const char *
280,Define,Parm,strcspn@__reject,const char *
284,Define,FunctionDeclare,strspn,unsigned long
284,Define,Parm,strspn@__s,const char *
284,Define,Parm,strspn@__accept,const char *
310,Define,FunctionDeclare,strpbrk,char *
310,Define,Parm,strpbrk@__s,const char *
310,Define,Parm,strpbrk@__accept,const char *
337,Define,FunctionDeclare,strstr,char *
337,Define,Parm,strstr@__haystack,const char *
337,Define,Parm,strstr@__needle,const char *
343,Define,FunctionDeclare,strtok,char *
343,Define,Parm,strtok@__s,char *__restrict
343,Define,Parm,strtok@__delim,const char *__restrict
349,Define,FunctionDeclare,__strtok_r,char *
349,Define,Parm,__strtok_r@__s,char *__restrict
350,Define,Parm,__strtok_r@__delim,const char *__restrict
351,Define,Parm,__strtok_r@__save_ptr,char **__restrict
354,Define,FunctionDeclare,strtok_r,char *
354,Define,Parm,strtok_r@__s,char *__restrict
354,Define,Parm,strtok_r@__delim,const char *__restrict
355,Define,Parm,strtok_r@__save_ptr,char **__restrict
394,Define,FunctionDeclare,strlen,unsigned long
394,Define,Parm,strlen@__s,const char *
401,Define,FunctionDeclare,strnlen,size_t
401,Define,Parm,strnlen@__string,const char *
401,Define,Parm,strnlen@__maxlen,size_t
408,Define,FunctionDeclare,strerror,char *
408,Define,Parm,strerror@__errnum,int
422,Define,FunctionDeclare,strerror_r,int
422,Define,Parm,strerror_r@__errnum,int
422,Define,Parm,strerror_r@__buf,char *
422,Define,Parm,strerror_r@__buflen,size_t
440,Define,FunctionDeclare,strerror_l,char *
440,Define,Parm,strerror_l@__errnum,int
440,Define,Parm,strerror_l@__l,__locale_t
446,Define,FunctionDeclare,__bzero,void
446,Define,Parm,__bzero@__s,void *
446,Define,Parm,__bzero@__n,size_t
450,Define,FunctionDeclare,bcopy,void
450,Define,Parm,bcopy@__src,const void *
450,Define,Parm,bcopy@__dest,void *
450,Define,Parm,bcopy@__n,size_t
454,Define,FunctionDeclare,bzero,void
454,Define,Parm,bzero@__s,void *
454,Define,Parm,bzero@__n,size_t
457,Define,FunctionDeclare,bcmp,int
457,Define,Parm,bcmp@__s1,const void *
457,Define,Parm,bcmp@__s2,const void *
457,Define,Parm,bcmp@__n,size_t
484,Define,FunctionDeclare,index,char *
484,Define,Parm,index@__s,const char *
484,Define,Parm,index@__c,int
512,Define,FunctionDeclare,rindex,char *
512,Define,Parm,rindex@__s,const char *
512,Define,Parm,rindex@__c,int
518,Define,FunctionDeclare,ffs,int
518,Define,Parm,ffs@__i,int
529,Define,FunctionDeclare,strcasecmp,int
529,Define,Parm,strcasecmp@__s1,const char *
529,Define,Parm,strcasecmp@__s2,const char *
533,Define,FunctionDeclare,strncasecmp,int
533,Define,Parm,strncasecmp@__s1,const char *
533,Define,Parm,strncasecmp@__s2,const char *
533,Define,Parm,strncasecmp@__n,size_t
552,Define,FunctionDeclare,strsep,char *
552,Define,Parm,strsep@__stringp,char **__restrict
553,Define,Parm,strsep@__delim,const char *__restrict
559,Define,FunctionDeclare,strsignal,char *
559,Define,Parm,strsignal@__sig,int
